StationName,StationID,μ,σ
BEECHWOOD,8100512,55.14826102590365,15.025846569124273
BELLEDUNE,8100514,40.205321946312274,10.935270754735253
BOUCTOUCHE CDA CS,8100593,53.43775109410044,13.073851344268075
CHARLO AUTO,8100885,48.47174474967484,14.354236565228465
MIRAMICHI RCS,8100989,49.99651476356398,16.24359476350965
EDMUNDSTON,8101303,48.24399661740891,16.32960870050167
FREDERICTON A,8101500,60.690909090909095,30.137665952938512
FREDERICTON CDA CS,8101605,55.24218237019896,15.39012793785758
MONCTON INTL A,8103201,51.93564500916479,17.791900187054168
ROYAL ROAD,8104480,49.83631514032764,13.12002726292435
ROYAL ROAD WEST,8104482,51.209566043903614,12.034286113131188
SAINT JOHN,8104800,62.756124862096826,18.008696104864814
SAINT JOHN A,8104900,67.97274840905983,18.212350712843758
ST LEONARD A,8104928,47.763225699261646,12.251166701132812
SUMMIT DEPOT,8105100,41.77389721640125,12.96484958561706
ARGENTIA (AUT),8400104,59.68952990592861,20.91464312952425
BURGEO NL,8400801,65.70229988338718,12.361599823502033
COMFORT COVE,8401259,41.00552472171077,10.651505901117776
DANIELS HARBOUR,8401400,47.58636056215634,16.748766819785654
DEER LAKE A,8401501,39.94729699188737,8.292035919640522
GANDER AIRPORT CS,8401705,42.6459078613446,12.410806455946087
LA SCIE,8402520,47.65308331474579,10.909800531785338
PORT AUX BASQUES,8402975,64.55842267869699,18.959539750047558
ST ALBANS,8403290,75.00993783579948,22.2111861556649
ST ANTHONY,8403401,46.84038506793555,11.262501262916127
ST JOHN'S A,8403506,57.28860808122859,12.892280447924652
ST LAWRENCE,8403619,65.04674788862667,17.9888682204218
STEPHENVILLE RCS,8403820,53.83455854477649,14.524442548584737
TWILLINGATE (AUT),8404025,46.630272531369556,8.168830448556275
BATTLE HARBOUR LOR,8500398,40.782199738233196,11.006675051615293
CHURCHILL FALLS A,8501132,32.39351738470042,6.677486097902706
GOOSE A,8501900,37.204499153655625,9.876671747995845
MARY'S HARBOUR A,8502591,35.287621393494874,11.900720097884973
NAIN,8502799,37.06856294890596,9.527685837455246
WABUSH LAKE A,8504175,31.50046795223922,7.643478884127912
CARIBOU POINT (AUT),8200774,51.7873756284891,10.997162306535296
EDDY POINT,8201716,64.45564923443365,12.116186546648686
GREENWOOD A,8202000,52.729509123057326,14.063825531338658
HALIFAX,8202200,58.2275592945816,24.56646865355694
HALIFAX INTL A,8202251,68.70993389877665,13.560233975187112
INGONISH BEACH,8202500,75.78136149099171,21.211900220593716
KENTVILLE CDA CS,8202810,52.69571882706215,15.228205723003514
NAPPAN AUTO,8203702,58.75619699964328,15.340087131312583
SABLE ISLAND,8204700,62.80595525922672,16.397811251313783
SHARPE BROOK IHD,8205085,65.51344317847249,20.028523012967867
SHEARWATER RCS,8205092,61.32812163391965,16.563037067923094
SHELBURNE,8205126,59.27496298861955,10.514844366865598
SYDNEY CS,8205702,62.78635335530228,14.13258590685657
TRURO,8205990,53.586932529059744,13.543089149513843
WESTERN HEAD,8206240,74.20433809856982,19.153586504587977
YARMOUTH A,8206495,62.59295581185552,13.131388006998602
BIG TROUT LAKE,6010738,37.158851019067924,9.890811134589466
EAR FALLS (AUT),6012199,39.633563834683656,11.06200318789243
LANSDOWNE HOUSE (AUT),6014353,39.128138687586,15.045511149872354
PICKLE LAKE (AUT),6016525,40.06377744673262,11.748559160525925
RED LAKE A,6016975,37.37816481841575,12.064561191349977
ATIKOKAN (AUT),6020LPQ,46.67757542807797,12.535219930463281
KENORA RCS,6034073,50.971602547768235,20.622238426641317
RAWSON LAKE (AUT),6036907,47.47383133973112,16.01742510525501
SIOUX LOOKOUT A,6037775,42.94219606862967,13.131721998000817
ARMSTRONG (AUT),6040325,37.98916275864616,11.121950187705743
CAMERON FALLS (AUT),6041110,48.74498180360099,11.407944442517273
CARIBOU ISLAND,6041221,38.79061171799498,9.698834170463439
GERALDTON A,6042716,41.86872267798039,12.130174287400038
PUKASKWA NATL PARK,6046770,40.24140025787682,15.465386364272911
SLATE ISLAND,6047810,40.936918641271944,10.666916994422895
THUNDER BAY CS,6048268,42.333485436023096,13.617410026632976
ELLIOT LAKE A,6052259,51.67692216501766,14.804452843536133
MISSISSAGI ONT HYDRO,6055210,41.47928890421527,15.356628526513298
RAYNER,6056907,48.96510614871103,14.12671288272397
SAULT STE MARIE A,6057592,41.44684620332887,12.202839612299444
WAWA (AUT),6059408,45.6795361082984,13.122949306294348
WHITE RIVER,6059475,39.10827754704179,14.275789350745594
CHAPLEAU A,6061361,42.31953531261418,14.231518722325738
SUDBURY A,6068150,44.03381361159134,12.510777204169358
SUDBURY SCIENCE NORTH,6068158,37.69111237338901,11.497488561056358
DYMOND ONT HYDRO,6072183,33.46087757786641,9.837969576256956
KAPUSKASING CDA ON,6073980,37.89776085124693,10.178002994691413
KIRKLAND LAKE CS,6074211,40.40472686834971,12.091172185559847
MOOSONEE RCS,6075435,37.32671286562688,11.407565176351694
PINARD,6076540,41.799541055187845,10.98795039926273
TIMMINS VICTOR POWER A,6078285,38.61141163021401,13.148935135477014
UPPER NOTCH,6079068,47.166755501608634,12.682134298827757
LA CAVE,6084278,41.47147719624398,16.066767596594893
LAKE TRAVERSE,6084307,38.50481618706756,5.3002735300638975
NORTH BAY A,6085700,51.28595858787372,12.028526498143489
GREAT DUCK ISLAND,6093004,40.14405973306374,8.96824630693625
BARK LAKE DAM,6100493,31.88351320444665,11.028842719956625
BROCKVILLE PCC,6100971,47.377881430869365,14.191666239868614
COMBERMERE,6101820,38.433950544374305,9.591307109695766
CORNWALL,6101874,45.63631751481104,14.594886988169755
CORNWALL ONT HYDRO,6101901,41.65646519427867,14.251174055394369
KEMPTVILLE CS,6104027,45.95598429369386,11.321448260577558
KINGSTON CLIMATE,6104142,41.13332556036961,13.073364159565557
KINGSTON PUMPING STATION,6104175,43.45895363732242,10.455681923599265
OTTAWA CDA RCS,6105978,44.19555649881783,11.371031091678361
OTTAWA MACDONALD-CARTIER INT'L A,6106000,45.562859968012454,10.262443924909787
PETAWAWA NAT FORESTRY,6106400,40.32337058070232,14.52756401320482
SMITHS FALLS TS,6107836,40.37120688722361,12.094674465980985
BARRIE WPCC,6110557,43.58679424548342,13.033978371108066
BEAUSOLEIL,6110617,45.74397984159397,16.914755094337735
COLLINGWOOD,6111792,41.19932873961466,10.688170685561909
DORSET MOE,6112072,42.372978671379755,12.91658746786177
ORILLIA BRAIN,6115811,43.17236270372152,11.106474933405392
OWEN SOUND MOE,6116132,44.174399582674056,12.336817337416903
PARRY SOUND CCG,6116257,43.040436776395836,7.1570462117380345
RAGGED RAPIDS,6116843,41.23991574282256,8.966109809783024
BARRIE-ORO,6117700,43.00337935120393,6.414233820756003
UTTERSON ONT HYDRO,6119115,39.241054155058315,7.696987357836609
WIARTON A,6119500,44.15478034607574,11.21057357438005
EGBERT CS,611E001,37.82120426847773,9.864346710062112
COVE ISLAND,6121912,39.06741911622054,10.186334328534908
CYPRUS LAKE CS,6121940,49.189528505935186,17.411604536567076
GODERICH,6122847,41.77031061589105,12.189077109099223
SARNIA CLIMATE,6127519,46.98320948512398,12.87525873093704
CHATHAM WPCP,6131415,46.900454963049896,12.049103636148452
DELHI CS,6131983,47.86450903333344,13.010584887276064
HARROW CDA AUTO,6133362,46.16996264146013,16.366507986885928
LONG POINT,6134610,44.45511205633167,14.117610154941204
NIAGARA FALLS,6135638,45.30638495641994,11.188660374917113
PORT COLBORNE,6136606,44.6573882788184,13.696732648566996
PORT WELLER (AUT),6136699,44.14822132822596,10.314253853536249
RIDGETOWN RCS,6137154,49.97864801130058,14.560391865462712
ST CATHARINES A,6137287,43.51414229459591,11.43304725835991
ST THOMAS WPCP,6137362,44.72117654657171,14.440184471062569
SIMCOE,6137730,45.40177337113722,14.002222714717345
VINELAND STATION RCS,6139148,46.0303611404473,12.791359294235358
WELLAND-PELHAM,6139449,43.67356219265194,12.68963891765117
WINDSOR A,6139525,48.51375601333366,12.956649482998923
WINDSOR UNIVERSITY,6139538,45.776867848807754,14.007892142546721
POINT PELEE CS,613P001,48.46743377455213,16.065674074474565
BLUE SPRINGS CREEK,6140818,51.44582206267795,11.550836590657543
BRANTFORD MOE,6140954,45.35534729107874,12.128608253358223
CAMBRIDGE GALT MOE,6141095,48.94698659602689,11.980831964799217
ELORA RCS,6142286,41.2962410721145,13.238736284519302
FERGUS SHAND DAM,6142400,47.174803502017255,13.952510801951684
GLEN ALLAN,6142803,47.78246199896455,15.682815139660221
GRAND VALLEY WPCP,6142991,42.734811127886104,10.954781883293325
GUELPH SMALLFIELD FARM,6143087,43.69807194541756,17.58769136471545
GUELPH TURFGRASS,6143089,41.23013759830652,11.00473549365612
KITCHENER CITY ENG 2,6144241,39.27501741480026,8.390819458395654
LONDON CS,6144478,45.469170312473665,14.101419608762093
MOUNT FOREST (AUT),6145504,45.05822433490117,11.776492349902359
PRESTON WPCP,6146714,50.47991722350005,12.086213337289585
PROSPECT HILL,6146745,48.31921726575309,9.059656038035115
STRATFORD WWTP,6148105,46.44046343539267,15.618340520773682
WATERLOO WELLINGTON A,6149387,45.94659798422092,13.021673924730381
WOODSTOCK,6149625,44.106045910537155,15.444061320095894
BELLEVILLE,6150689,46.09734966530459,11.600074825990585
BOWMANVILLE MOSTERT,6150830,40.65501711799455,9.020797338388919
BURKETON MCLAUGHLIN,6151042,43.53747184388328,9.556714335890298
BURLINGTON FIRE HQ'S,6151059,40.14887947650047,11.9873593291369
CAMPBELLFORD,6151137,37.989444837819505,9.625118587864627
COBOURG (AUT),6151684,46.464117323113804,15.036533842132979
GREENWOOD MTRCA,6153020,36.889147446233466,10.901033341441757
HAMILTON A,6153194,45.70614764055928,14.812689938655778
HAMILTON RBG CS,6153301,45.49265933845571,10.914580676566779
HEART LAKE,6153410,49.77884301756886,13.000826139039855
MAIN DUCK ISLAND,6154820,40.737083528975276,9.874643095430917
MAPLE,6154950,41.255343413157135,8.903170394868033
MILTON KELSO,6155187,49.54612439617995,21.58760771261685
OAK RIDGES,6155722,43.45044187665427,15.616381053491594
ORANGEVILLE MOE,6155790,36.103608566491985,9.888250151623385
OSHAWA WPCP,6155878,40.40537354228303,12.08124490984083
PICTON,6156533,42.075031036296345,12.251372666641313
SMITHFIELD CDA,6157831,40.69543194373075,12.161465865254865
STOUFFVILLE WPCP,6158084,42.90978289245742,12.934525568039433
TORONTO CITY,6158355,42.13386347127491,11.132386670501969
