StationName,StationID,δμ,δϕ,δξ
BEECHWOOD,8100512,-0.0003113122722950834,-3.150419929376369e-5,-1.301695040378803e-5
BELLEDUNE,8100514,-0.00013285311457877924,6.939446118181536e-6,3.2345564763835988e-6
BOUCTOUCHE CDA CS,8100593,0.00022457167860778782,8.444140965124802e-6,1.726453206940537e-5
CHARLO AUTO,8100885,1.5836777890854137e-5,-9.251230616236228e-6,-3.265859071363217e-6
MIRAMICHI RCS,8100989,-5.9318153503795656e-5,-7.357854864942226e-6,4.035197189264372e-6
EDMUNDSTON,8101303,-0.0003361221824604854,-4.0458031962398167e-5,2.9892324645119928e-5
FREDERICTON A,8101500,11.890287940332264,0.9931414776461396,-0.29561374803259743
FREDERICTON CDA CS,8101605,-0.0007205451365521753,-2.68402824770142e-5,2.0152761722850437e-5
MONCTON INTL A,8103201,-8.755988682196403e-5,-4.6766361583294724e-7,-5.137690915806015e-6
ROYAL ROAD,8104480,-0.00030699497536090803,-3.224871578577648e-5,7.662006727138237e-6
ROYAL ROAD WEST,8104482,6.3196993146164e-5,1.4407528614590603e-5,2.28437792157421e-6
SAINT JOHN,8104800,-0.00023667389628911906,1.2045986190756253e-6,6.279333116565589e-5
SAINT JOHN A,8104900,-0.00019952046973514825,6.01787146825572e-6,-4.738752966304549e-6
ST LEONARD A,8104928,-0.000223824457975752,1.4436127678596478e-5,-1.779156148026817e-5
SUMMIT DEPOT,8105100,-0.0003742816856018294,-1.4274919855061796e-6,-1.690330020279185e-5
ARGENTIA (AUT),8400104,20.42582648343175,1.1702371132355815,-0.6342271130674592
BURGEO NL,8400801,0.0001664493747881579,1.2395876333393119e-5,-9.422241964283928e-6
COMFORT COVE,8401259,6.555584759126987e-5,4.193096332372193e-6,1.416689031782329e-5
DANIELS HARBOUR,8401400,1.492639804467899e-5,9.523029687041884e-6,2.039008970233791e-5
DEER LAKE A,8401501,-3.566381009534325e-5,-1.5835768934380212e-5,3.9280873984359754e-6
GANDER AIRPORT CS,8401705,1.4911547907558997e-6,-3.932061156675104e-6,-4.838677239368816e-6
LA SCIE,8402520,-0.0007273126025921783,-5.691408762231731e-5,9.726009404989466e-5
PORT AUX BASQUES,8402975,-0.0004307803622083384,-7.668340749056313e-6,8.451637642820087e-6
ST ALBANS,8403290,0.0005686074279651621,-8.622225292409524e-6,-1.3276896629332846e-6
ST ANTHONY,8403401,-3.620566844375617e-5,1.1487945239974096e-5,-4.036112667084313e-5
ST JOHN'S A,8403506,0.00036687189775364004,3.51995733067767e-5,-4.517385354763093e-5
ST LAWRENCE,8403619,-0.0005151486877537081,-8.935139244492518e-6,6.984354335853871e-6
STEPHENVILLE RCS,8403820,0.00018469042942115266,9.862839572605253e-6,3.845648441455629e-6
TWILLINGATE (AUT),8404025,3.5258406825278144e-5,-2.407425737516178e-5,-2.823983389632634e-6
BATTLE HARBOUR LOR,8500398,0.0004671349557412441,-2.2190966467494633e-5,6.692761631565958e-6
CHURCHILL FALLS A,8501132,2.4672610848597287e-5,-4.40976865379028e-6,1.2348444618968946e-5
GOOSE A,8501900,-8.59999300288905e-5,-2.510881862871628e-6,-4.1929581998112475e-6
MARY'S HARBOUR A,8502591,-0.0008206405286017571,-3.0107455121441973e-5,3.07110430501651e-5
NAIN,8502799,-0.00043397411657508655,-2.792089066616654e-7,2.0075113149664592e-5
WABUSH LAKE A,8504175,8.51790764286875e-5,5.904969905934365e-6,-1.3544765978385637e-5
CARIBOU POINT (AUT),8200774,-0.00016498998596858883,-1.780694393094251e-5,-7.0874106952029114e-6
EDDY POINT,8201716,0.0005294683378451737,3.329917239014435e-5,-4.469853538857649e-5
GREENWOOD A,8202000,0.00012306376643778094,1.227417642768458e-5,-1.4284067080734889e-5
HALIFAX,8202200,0.0005883406337758856,1.2308054176735084e-5,-3.096969457550003e-6
HALIFAX INTL A,8202251,-8.774349974771667e-5,-1.307353497814745e-5,4.287212399006757e-6
INGONISH BEACH,8202500,0.0015367110449915344,4.7519974657461717e-5,-2.8624355341885788e-5
KENTVILLE CDA CS,8202810,0.00019493720952823423,3.7674877595428313e-6,1.2434409265432711e-5
NAPPAN AUTO,8203702,-0.00014503190496384377,4.915328772314709e-5,-4.819945420431182e-5
SABLE ISLAND,8204700,9.522439239617597e-5,1.0470713522892083e-5,-9.777147001524544e-6
SHARPE BROOK IHD,8205085,15.940313875438477,0.4202978928454826,-0.20702221496422527
SHEARWATER RCS,8205092,-6.513416008147033e-5,-8.081216792632517e-6,-3.2379019402339893e-6
SHELBURNE,8205126,8.089563277735579e-5,-1.935905757477485e-6,1.6822239210234624e-6
SYDNEY CS,8205702,-4.0802454648769526e-5,-1.462766110638114e-5,-4.209666998961081e-6
TRURO,8205990,4.712443392662635e-5,5.946044447924237e-7,-3.7194268298276767e-7
WESTERN HEAD,8206240,-0.0002832657470293043,-4.219816856787517e-5,4.755472518963577e-6
YARMOUTH A,8206495,-3.904071198945758e-5,1.2974825579270544e-5,-4.824330687939332e-6
BIG TROUT LAKE,6010738,0.0003286313413610742,2.8337993727589605e-5,-2.962287542884745e-5
EAR FALLS (AUT),6012199,-0.00028717055469229535,-1.9784692720126174e-5,-1.617922065245969e-5
LANSDOWNE HOUSE (AUT),6014353,-0.00016152908755628914,-8.71491742993058e-6,1.3423695088027321e-5
PICKLE LAKE (AUT),6016525,-3.4395663504938057e-5,-2.0254094277305512e-5,-3.187139536384165e-6
RED LAKE A,6016975,0.00013638793792125625,2.331410496658748e-5,8.052080649634252e-6
ATIKOKAN (AUT),6020LPQ,-0.00028518636663932284,-1.0611710597796531e-5,7.518738456668839e-6
KENORA RCS,6034073,4.0569173762605715e-6,-1.1777230527254545e-5,-6.691092421018396e-6
RAWSON LAKE (AUT),6036907,-0.0002203104059077532,-5.689499588346081e-6,-5.278253359601581e-6
SIOUX LOOKOUT A,6037775,-6.908749703882222e-6,-3.410031394590618e-6,2.1641891600920893e-5
ARMSTRONG (AUT),6040325,-2.9488375361097496e-5,7.920010600237504e-6,3.342813109319387e-6
CAMERON FALLS (AUT),6041110,2.7657785807377877e-5,3.2527720152941697e-6,1.620692750671504e-5
CARIBOU ISLAND,6041221,-0.00015677445611572693,4.884987946596198e-6,1.8782722427168608e-5
GERALDTON A,6042716,6.354169713773672e-5,-7.794244818448703e-7,6.794341339599885e-6
PUKASKWA NATL PARK,6046770,0.0002787099722638686,-1.8286152614344076e-6,-2.4811891739223713e-5
SLATE ISLAND,6047810,-0.00011260497453235985,-1.0064929566677705e-5,-1.0881067271158174e-5
